tipo_registro,arquivo_origem,aba_origem,titulo_tabela,variavel,nivel,codigo_municipio,municipio,ano,produto,unidade_cabecalho,valor_original,valor_numerico,linha_origem,coluna_origem,ano_cabecalho_original
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4104907,Castro (PR),1989,Aveia (em grão),,1600,1600.0,3980,54,1989
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4104907,Castro (PR),1989,Batata-inglesa,,500,500.0,3980,55,1989
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4104907,Castro (PR),1989,Cebola,,80,80.0,3980,56,1989
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4104907,Castro (PR),1989,Cevada (em grão),,1600,1600.0,3980,57,1989
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4104907,Castro (PR),1989,Feijão (em grão),,7600,7600.0,3980,58,1989
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4104907,Castro (PR),1989,Girassol (em grão),,...,,3980,59,1989
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4104907,Castro (PR),1989,Milho (em grão),,21800,21800.0,3980,60,1989
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4104907,Castro (PR),1989,Soja (em grão),,27000,27000.0,3980,61,1989
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4104907,Castro (PR),1989,Tomate,,1,1.0,3980,62,1989
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4104907,Castro (PR),1989,Trigo (em grão),,10600,10600.0,3980,63,1989
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4119905,Ponta Grossa (PR),1984,Aveia (em grão),,...,,4185,4,1984
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4119905,Ponta Grossa (PR),1984,Batata-inglesa,,...,,4185,5,1984
