split,year,planting_label,planting_date,raw_yield_kg_ha,observed_yield_kg_ha,rain_mm,irrigation_mm,planting_doy,temp_mean_c,srad_mj_m2_day,corrected_yield_kg_ha,raw_abs_error,corrected_abs_error
train,2012,oct15,2012-10-15,3689.0,3546.0,610.0,20.0,289,19.095871934311003,14.985118394975308,3565.6129667174073,143.0,19.61296671740729
train,2012,oct25,2012-10-25,3623.0,3546.0,586.0,20.0,299,19.095871934311003,14.985118394975308,3565.419790151,77.0,19.419790151000143
train,2012,nov05,2012-11-05,3511.0,3546.0,580.0,20.0,310,19.095871934311003,14.985118394975308,3566.265782541647,35.0,20.265782541646786
train,2013,sep25,2013-09-25,4970.0,3690.0,360.0,120.0,268,19.178510899508918,17.791127272727273,3530.644141848145,1280.0,159.35585815185505
train,2013,oct05,2013-10-05,4514.0,3690.0,299.0,120.0,278,19.178510899508918,17.791127272727273,3537.8834685432325,824.0,152.11653145676746
train,2013,oct15,2013-10-15,4301.0,3690.0,311.0,120.0,288,19.178510899508918,17.791127272727273,3540.5651811777234,611.0,149.4348188222766
train,2013,oct25,2013-10-25,4166.0,3690.0,323.0,120.0,298,19.178510899508918,17.791127272727273,3542.054258873461,476.0,147.9457411265389
train,2013,nov05,2013-11-05,4259.0,3690.0,297.0,120.0,309,19.178510899508918,17.791127272727273,3540.961685468091,569.0,149.03831453190878
train,2014,sep25,2014-09-25,5393.0,3542.0,540.0,80.0,268,19.560308869325667,17.72028760330579,3571.669762648846,1851.0,29.66976264884579
train,2014,oct05,2014-10-05,5211.0,3542.0,523.0,100.0,278,19.560308869325667,17.72028760330579,3568.387495047274,1669.0,26.387495047274115
train,2014,oct15,2014-10-15,4533.0,3542.0,496.0,100.0,288,19.560308869325667,17.72028760330579,3577.773131166186,991.0,35.773131166185976
train,2014,oct25,2014-10-25,4908.0,3542.0,475.0,120.0,298,19.560308869325667,17.72028760330579,3566.9424816641185,1366.0,24.94248166411853
train,2014,nov05,2014-11-05,4860.0,3542.0,454.0,120.0,309,19.560308869325667,17.72028760330579,3567.485956211259,1318.0,25.48595621125878
train,2015,sep25,2015-09-25,4519.0,3727.0,486.0,100.0,268,20.364515157915445,16.092579430029403,3630.816932962931,792.0,96.18306703706912
train,2015,oct05,2015-10-05,4941.0,3727.0,467.0,100.0,278,20.364515157915445,16.092579430029403,3625.1412550916657,1214.0,101.8587449083343
train,2015,oct15,2015-10-15,4939.0,3727.0,391.0,80.0,288,20.364515157915445,16.092579430029403,3630.1831958387534,1212.0,96.81680416124664
train,2015,oct25,2015-10-25,4993.0,3727.0,420.0,60.0,298,20.364515157915445,16.092579430029403,3634.621500700557,1266.0,92.37849929944286
train,2015,nov05,2015-11-05,4912.0,3727.0,443.0,40.0,309,20.364515157915445,16.092579430029403,3641.139681013314,1185.0,85.8603189866858
train,2016,sep25,2016-09-25,4998.0,3381.0,785.0,20.0,269,18.945368457300273,16.604302066115704,3668.017307063357,1617.0,287.01730706335684
train,2016,oct05,2016-10-05,5072.0,3381.0,756.0,20.0,279,18.945368457300273,16.604302066115704,3665.7883819035724,1691.0,284.7883819035724
train,2016,oct15,2016-10-15,5339.0,3381.0,735.0,20.0,289,18.945368457300273,16.604302066115704,3661.0283106754096,1958.0,280.02831067540956
train,2016,oct25,2016-10-25,5360.0,3381.0,701.0,0.0,299,18.945368457300273,16.604302066115704,3666.317601960344,1979.0,285.31760196034384
train,2016,nov05,2016-11-05,5238.0,3381.0,695.0,20.0,310,18.945368457300273,16.604302066115704,3660.397458367399,1857.0,279.39745836739894
train,2017,sep25,2017-09-25,5013.0,4000.0,1069.0,20.0,268,19.39901110911486,15.068251239669422,3732.9673057980344,1013.0,267.03269420196557
train,2017,oct05,2017-10-05,5020.0,4000.0,999.0,40.0,278,19.39901110911486,15.068251239669422,3719.563746339263,1020.0,280.43625366073684
train,2017,oct15,2017-10-15,4831.0,4000.0,940.0,60.0,288,19.39901110911486,15.068251239669422,3710.448624770371,831.0,289.5513752296288
train,2017,oct25,2017-10-25,4762.0,4000.0,966.0,40.0,298,19.39901110911486,15.068251239669422,3721.4261094545113,762.0,278.57389054548867
train,2017,nov05,2017-11-05,4618.0,4000.0,770.0,40.0,309,19.39901110911486,15.068251239669422,3714.6404474994292,618.0,285.35955250057077
valid,2018,sep25,2018-09-25,5123.0,3750.0,687.0,40.0,268,19.62989804168164,14.114880578512395,3749.270060359762,1373.0,0.7299396402381717
valid,2018,oct05,2018-10-05,5374.0,3750.0,714.0,40.0,278,19.62989804168164,14.114880578512395,3746.732267125691,1624.0,3.2677328743088765
valid,2018,oct15,2018-10-15,5402.0,3750.0,717.0,40.0,288,19.62989804168164,14.114880578512395,3746.453297630806,1652.0,3.5467023691940085
valid,2018,oct25,2018-10-25,5162.0,3750.0,730.0,20.0,298,19.62989804168164,14.114880578512395,3757.6868768334557,1412.0,7.686876833455699
valid,2018,nov05,2018-11-05,4880.0,3750.0,748.0,20.0,309,19.62989804168164,14.114880578512395,3762.197868150249,1130.0,12.197868150249178
valid,2019,sep25,2019-09-25,5009.0,3700.0,568.0,60.0,268,19.432691447486132,17.342123456790127,3754.9636186615276,1309.0,54.96361866152756
valid,2019,oct05,2019-10-05,5079.0,3700.0,576.0,20.0,278,19.432691447486132,17.342123456790127,3766.832824595896,1379.0,66.832824595896
valid,2019,oct15,2019-10-15,5189.0,3700.0,560.0,80.0,288,19.432691447486132,17.342123456790127,3746.246537759104,1489.0,46.24653775910383
valid,2019,oct25,2019-10-25,5218.0,3700.0,540.0,60.0,298,19.432691447486132,17.342123456790127,3751.4830764488343,1518.0,51.483076448834254
valid,2019,nov05,2019-11-05,5238.0,3700.0,540.0,80.0,309,19.432691447486132,17.342123456790127,3744.9255932576402,1538.0,44.92559325764023
valid,2020,sep25,2020-09-25,5168.0,4050.0,663.0,0.0,269,20.141418706413138,16.446301373660596,3828.9190149635756,1118.0,221.0809850364244
valid,2020,oct05,2020-10-05,5054.0,4050.0,680.0,0.0,279,20.141418706413138,16.446301373660596,3831.4951531003576,1004.0,218.50484689964242
